cycle,c,tick_pop_consumption_Tc
0,minibus,nil
0,tgv,nil
0,ter,nil
0,truck,nil
0,taxi,nil
1,minibus,nil
1,tgv,nil
1,ter,nil
1,truck,nil
1,taxi,nil
2,minibus,nil
2,tgv,nil
2,ter,nil
2,truck,nil
2,taxi,nil
3,minibus,nil
3,tgv,nil
3,ter,nil
3,truck,nil
3,taxi,nil
4,minibus,nil
4,tgv,nil
4,ter,nil
4,truck,nil
4,taxi,nil
5,minibus,nil
5,tgv,nil
5,ter,nil
5,truck,nil
5,taxi,nil
6,minibus,nil
6,tgv,nil
6,ter,nil
6,truck,nil
6,taxi,nil
7,minibus,nil
7,tgv,nil
7,ter,nil
7,truck,nil
7,taxi,nil
8,minibus,nil
8,tgv,nil
8,ter,nil
8,truck,nil
8,taxi,nil
9,minibus,nil
9,tgv,nil
9,ter,nil
9,truck,nil
9,taxi,nil
10,minibus,nil
10,tgv,nil
10,ter,nil
10,truck,nil
10,taxi,nil
11,minibus,nil
11,tgv,nil
11,ter,nil
11,truck,nil
11,taxi,nil
12,minibus,nil
12,tgv,nil
12,ter,nil
12,truck,nil
12,taxi,nil
13,minibus,nil
13,tgv,nil
13,ter,nil
13,truck,nil
13,taxi,nil
14,minibus,nil
14,tgv,nil
14,ter,nil
14,truck,nil
14,taxi,nil
15,minibus,nil
15,tgv,nil
15,ter,nil
15,truck,nil
15,taxi,nil
16,minibus,nil
16,tgv,nil
16,ter,nil
16,truck,nil
16,taxi,nil
17,minibus,nil
17,tgv,nil
17,ter,nil
17,truck,nil
17,taxi,nil
18,minibus,nil
18,tgv,nil
18,ter,nil
18,truck,nil
18,taxi,nil
19,minibus,nil
19,tgv,nil
19,ter,nil
19,truck,nil
19,taxi,nil
20,minibus,nil
20,tgv,nil
20,ter,nil
20,truck,nil
20,taxi,nil
21,minibus,nil
21,tgv,nil
21,ter,nil
21,truck,nil
21,taxi,nil
22,minibus,nil
22,tgv,nil
22,ter,nil
22,truck,nil
22,taxi,nil
23,minibus,nil
23,tgv,nil
23,ter,nil
23,truck,nil
23,taxi,nil
24,minibus,nil
24,tgv,nil
24,ter,nil
24,truck,nil
24,taxi,nil
25,minibus,nil
25,tgv,nil
25,ter,nil
25,truck,nil
25,taxi,nil
26,minibus,nil
26,tgv,nil
26,ter,nil
26,truck,nil
26,taxi,nil
27,minibus,nil
27,tgv,nil
27,ter,nil
27,truck,nil
27,taxi,nil
28,minibus,nil
28,tgv,nil
28,ter,nil
28,truck,nil
28,taxi,nil
29,minibus,nil
29,tgv,nil
29,ter,nil
29,truck,nil
29,taxi,nil
30,minibus,nil
30,tgv,nil
30,ter,nil
30,truck,nil
30,taxi,nil
31,minibus,nil
31,tgv,nil
31,ter,nil
31,truck,nil
31,taxi,nil
32,minibus,nil
