cycle,o,tick_consumption_Uo
0,modular house,nil
0,modular house extension,nil
0,wooden house,nil
0,plastic factory,nil
0,company,nil
0,leisure,nil
0,school,nil
1,modular house,nil
1,modular house extension,nil
1,wooden house,nil
1,plastic factory,nil
1,company,nil
1,leisure,nil
1,school,nil
2,modular house,0.2
2,modular house extension,nil
2,wooden house,0.2
2,plastic factory,0.2
2,company,0.2
2,leisure,0.2
2,school,0.2
3,modular house,0.5
3,modular house extension,nil
3,wooden house,0.2
3,plastic factory,0.1
3,company,0.1
3,leisure,0.1
3,school,0.2
4,modular house,0.5
4,modular house extension,nil
4,wooden house,0.2
4,plastic factory,0.1
4,company,0.1
4,leisure,0.1
4,school,0.2
5,modular house,0.5
5,modular house extension,nil
5,wooden house,0.2
5,plastic factory,0.1
5,company,0.1
5,leisure,0.1
5,school,0.2
6,modular house,0.5
6,modular house extension,nil
6,wooden house,0.2
6,plastic factory,0.1
6,company,0.1
6,leisure,0.1
6,school,0.2
7,modular house,0.5
7,modular house extension,nil
7,wooden house,0.2
7,plastic factory,0.1
7,company,0.1
7,leisure,0.1
7,school,0.2
8,modular house,0.5
8,modular house extension,nil
8,wooden house,0.2
8,plastic factory,0.1
8,company,0.1
8,leisure,0.1
8,school,0.2
9,modular house,0.5
9,modular house extension,nil
9,wooden house,0.2
9,plastic factory,0.1
9,company,0.1
9,leisure,0.1
9,school,0.2
10,modular house,0.5
10,modular house extension,nil
10,wooden house,0.2
10,plastic factory,0.1
10,company,0.1
10,leisure,0.1
10,school,0.2
11,modular house,0.5
11,modular house extension,nil
11,wooden house,0.2
11,plastic factory,0.1
11,company,0.1
11,leisure,0.1
11,school,0.2
12,modular house,0.5
12,modular house extension,nil
12,wooden house,0.2
12,plastic factory,0.1
12,company,0.1
12,leisure,0.1
12,school,0.2
13,modular house,0.5
13,modular house extension,nil
13,wooden house,0.2
13,plastic factory,0.1
13,company,0.1
13,leisure,0.1
13,school,0.2
14,modular house,0.5
14,modular house extension,nil
14,wooden house,0.2
14,plastic factory,0.1
14,company,0.1
14,leisure,0.1
14,school,0.2
15,modular house,0.5
15,modular house extension,nil
15,wooden house,0.2
15,plastic factory,0.1
15,company,0.1
15,leisure,0.1
15,school,0.2
16,modular house,0.5
16,modular house extension,nil
16,wooden house,0.2
16,plastic factory,0.1
16,company,0.1
16,leisure,0.1
16,school,0.2
17,modular house,0.5
17,modular house extension,nil
17,wooden house,0.2
17,plastic factory,0.1
17,company,0.1
17,leisure,0.1
17,school,0.2
18,modular house,0.5
18,modular house extension,nil
18,wooden house,0.2
18,plastic factory,0.1
18,company,0.1
18,leisure,0.1
18,school,0.2
19,modular house,0.5
19,modular house extension,nil
19,wooden house,0.2
19,plastic factory,0.1
19,company,0.1
19,leisure,0.1
19,school,0.2
20,modular house,0.5
20,modular house extension,nil
20,wooden house,0.2
20,plastic factory,0.1
20,company,0.1
20,leisure,0.1
20,school,0.2
21,modular house,0.5
21,modular house extension,nil
21,wooden house,0.2
21,plastic factory,0.1
21,company,0.1
21,leisure,0.1
21,school,0.2
22,modular house,0.5
22,modular house extension,nil
22,wooden house,0.2
22,plastic factory,0.1
22,company,0.1
22,leisure,0.1
22,school,0.2
23,modular house,0.5
23,modular house extension,nil
23,wooden house,0.2
23,plastic factory,0.1
23,company,0.1
23,leisure,0.1
23,school,0.2
24,modular house,0.5
24,modular house extension,nil
24,wooden house,0.2
24,plastic factory,0.1
24,company,0.1
24,leisure,0.1
24,school,0.2
25,modular house,0.5
25,modular house extension,nil
25,wooden house,0.2
25,plastic factory,0.1
25,company,0.1
25,leisure,0.1
