cycle,o,tick_production_Uo
0,modular house,nil
0,modular house extension,nil
0,wooden house,nil
0,plastic factory,nil
0,company,nil
0,leisure,nil
0,school,nil
1,modular house,nil
1,modular house extension,nil
1,wooden house,nil
1,plastic factory,nil
1,company,nil
1,leisure,nil
1,school,nil
2,modular house,0.0
2,modular house extension,0.0
2,wooden house,0.0
2,plastic factory,0.0
2,company,0.0
2,leisure,0.0
2,school,0.0
3,modular house,0.0
3,modular house extension,0.0
3,wooden house,0.0
3,plastic factory,0.0
3,company,0.0
3,leisure,0.0
3,school,0.0
4,modular house,0.0
4,modular house extension,0.0
4,wooden house,0.0
4,plastic factory,0.0
4,company,0.0
4,leisure,0.0
4,school,0.0
5,modular house,0.0
5,modular house extension,0.0
5,wooden house,0.0
5,plastic factory,0.0
5,company,0.0
5,leisure,0.0
5,school,0.0
6,modular house,0.0
6,modular house extension,0.0
6,wooden house,0.0
6,plastic factory,0.0
6,company,0.0
6,leisure,0.0
6,school,0.0
7,modular house,0.0
7,modular house extension,0.0
7,wooden house,0.0
7,plastic factory,0.0
7,company,0.0
7,leisure,0.0
7,school,0.0
8,modular house,0.0
8,modular house extension,0.0
8,wooden house,0.0
8,plastic factory,0.0
8,company,0.0
8,leisure,0.0
8,school,0.0
9,modular house,0.0
9,modular house extension,0.0
9,wooden house,0.0
9,plastic factory,0.0
9,company,0.0
9,leisure,0.0
9,school,0.0
10,modular house,0.0
10,modular house extension,0.0
10,wooden house,0.0
10,plastic factory,0.0
10,company,0.0
10,leisure,0.0
10,school,0.0
11,modular house,0.0
11,modular house extension,0.0
11,wooden house,0.0
11,plastic factory,0.0
11,company,0.0
11,leisure,0.0
11,school,0.0
12,modular house,0.0
12,modular house extension,0.0
12,wooden house,343.0
12,plastic factory,0.0
12,company,0.0
12,leisure,0.0
12,school,0.0
13,modular house,0.0
13,modular house extension,0.0
13,wooden house,343.0
13,plastic factory,0.0
13,company,0.0
13,leisure,0.0
13,school,0.0
14,modular house,0.0
14,modular house extension,0.0
14,wooden house,343.0
14,plastic factory,0.0
14,company,0.0
14,leisure,0.0
14,school,0.0
15,modular house,0.0
15,modular house extension,0.0
15,wooden house,343.0
15,plastic factory,0.0
15,company,0.0
15,leisure,0.0
15,school,0.0
16,modular house,0.0
16,modular house extension,0.0
16,wooden house,343.0
16,plastic factory,0.0
16,company,0.0
16,leisure,0.0
16,school,0.0
17,modular house,0.0
17,modular house extension,0.0
17,wooden house,343.0
17,plastic factory,0.0
17,company,0.0
17,leisure,0.0
17,school,0.0
18,modular house,0.0
18,modular house extension,0.0
18,wooden house,343.0
18,plastic factory,0.0
18,company,0.0
18,leisure,0.0
18,school,0.0
19,modular house,0.0
19,modular house extension,0.0
19,wooden house,343.0
19,plastic factory,0.0
19,company,0.0
19,leisure,0.0
19,school,0.0
20,modular house,0.0
20,modular house extension,0.0
20,wooden house,343.0
20,plastic factory,0.0
20,company,0.0
20,leisure,0.0
20,school,0.0
21,modular house,0.0
21,modular house extension,0.0
21,wooden house,343.0
21,plastic factory,0.0
21,company,0.0
21,leisure,0.0
21,school,0.0
22,modular house,0.0
22,modular house extension,0.0
22,wooden house,343.0
22,plastic factory,0.0
22,company,0.0
22,leisure,0.0
22,school,0.0
23,modular house,0.0
23,modular house extension,0.0
23,wooden house,0.0
23,plastic factory,0.0
23,company,0.0
23,leisure,0.0
23,school,0.0
24,modular house,0.0
24,modular house extension,0.0
24,wooden house,0.0
24,plastic factory,0.0
24,company,0.0
24,leisure,0.0
24,school,0.0
25,modular house,0.0
25,modular house extension,0.0
25,wooden house,0.0
25,plastic factory,0.0
