cycle,i,tick_resources_used_Ui
0,m3_wood,nil
0,kg_cotton,nil
0,m² land,nil
0,kWh energy,nil
1,m3_wood,nil
1,kg_cotton,nil
1,m² land,nil
1,kWh energy,nil
2,m3_wood,214032.0
2,kg_cotton,0.0
2,m² land,96040.0
2,kWh energy,343000.0
3,m3_wood,214032.0
3,kg_cotton,0.0
3,m² land,96040.0
3,kWh energy,343000.0
4,m3_wood,214032.0
4,kg_cotton,0.0
4,m² land,96040.0
4,kWh energy,343000.0
5,m3_wood,214032.0
5,kg_cotton,0.0
5,m² land,96040.0
5,kWh energy,343000.0
6,m3_wood,214032.0
6,kg_cotton,0.0
6,m² land,96040.0
6,kWh energy,343000.0
7,m3_wood,214032.0
7,kg_cotton,0.0
7,m² land,96040.0
7,kWh energy,343000.0
8,m3_wood,214032.0
8,kg_cotton,0.0
8,m² land,96040.0
8,kWh energy,343000.0
9,m3_wood,214032.0
9,kg_cotton,0.0
9,m² land,96040.0
9,kWh energy,343000.0
10,m3_wood,214032.0
10,kg_cotton,0.0
10,m² land,96040.0
10,kWh energy,343000.0
11,m3_wood,214032.0
11,kg_cotton,0.0
11,m² land,96040.0
11,kWh energy,343000.0
12,m3_wood,0.0
12,kg_cotton,0.0
12,m² land,0.0
12,kWh energy,0.0
13,m3_wood,0.0
13,kg_cotton,0.0
13,m² land,0.0
13,kWh energy,0.0
14,m3_wood,0.0
14,kg_cotton,0.0
14,m² land,0.0
14,kWh energy,0.0
15,m3_wood,0.0
15,kg_cotton,0.0
15,m² land,0.0
15,kWh energy,0.0
16,m3_wood,0.0
16,kg_cotton,0.0
16,m² land,0.0
16,kWh energy,0.0
17,m3_wood,0.0
17,kg_cotton,0.0
17,m² land,0.0
17,kWh energy,0.0
18,m3_wood,0.0
18,kg_cotton,0.0
18,m² land,0.0
18,kWh energy,0.0
19,m3_wood,0.0
19,kg_cotton,0.0
19,m² land,0.0
19,kWh energy,0.0
20,m3_wood,0.0
20,kg_cotton,0.0
20,m² land,0.0
20,kWh energy,0.0
21,m3_wood,0.0
21,kg_cotton,0.0
21,m² land,0.0
21,kWh energy,0.0
22,m3_wood,0.0
22,kg_cotton,0.0
22,m² land,0.0
22,kWh energy,0.0
23,m3_wood,0.0
23,kg_cotton,0.0
23,m² land,0.0
23,kWh energy,0.0
24,m3_wood,0.0
24,kg_cotton,0.0
24,m² land,0.0
24,kWh energy,8000.0
25,m3_wood,0.0
25,kg_cotton,0.0
25,m² land,0.0
25,kWh energy,24000.0
26,m3_wood,0.0
26,kg_cotton,0.0
26,m² land,0.0
26,kWh energy,42000.0
27,m3_wood,0.0
27,kg_cotton,0.0
27,m² land,0.0
27,kWh energy,88000.0
28,m3_wood,0.0
28,kg_cotton,0.0
28,m² land,0.0
28,kWh energy,119000.0
29,m3_wood,0.0
29,kg_cotton,0.0
29,m² land,0.0
29,kWh energy,167000.0
30,m3_wood,0.0
30,kg_cotton,0.0
30,m² land,0.0
30,kWh energy,206000.0
31,m3_wood,0.0
31,kg_cotton,0.0
31,m² land,0.0
31,kWh energy,237000.0
32,m3_wood,0.0
32,kg_cotton,0.0
32,m² land,0.0
32,kWh energy,279000.0
33,m3_wood,0.0
33,kg_cotton,0.0
33,m² land,0.0
33,kWh energy,312000.0
34,m3_wood,0.0
34,kg_cotton,0.0
34,m² land,0.0
34,kWh energy,343000.0
